Unnamed: 0,title,ingredients,directions,link,source,NER
1630705,Paleo Sunbutter Cups,"[""1 cup SunButter(R) any variety"", ""1/2 cup coconut oil softened, it's solid at room temp"", ""1/2 cup honey or any liquid sweetener to taste"", ""1/2 teaspoon vanilla"", ""1/2 teaspoon salt optional"", ""1 1/2 cups dark chocolate chips check package for allergen information""]","[""Line two regular (or three mini) muffin tins with paper or foil liners, set aside."", ""Blend all ingredients except chocolate chips in a mixer until smooth."", ""In microwave safe dish, heat chocolate chips on Medium for one minute, remove and stir. Continue heating in 20 second intervals until chips are mostly melted. Once chips are mostly melted keep stirring until chocolate is smooth."", ""Pour about one tablespoon of melted chocolate into prepared regular muffin tin, and immediately brush the chocolate up the sides. For mini muffin tins use about 1-1/2 teaspoons melted chocolate. The chocolate will harden almost instantly as you brush it up the sides."", ""Fill cups with the SunButter filling and drizzle or pour remaining melted chocolate over top of each cup. Place in the freezer until firm."", ""Store in airtight container in refrigerator or freezer.""]",www.yummly.com/recipe/Paleo-SunButter-Cups-2498973,Gathered,"[""coconut oil"", ""honey"", ""vanilla"", ""salt"", ""chocolate chips""]"
1630727,Pan-Fried Potatoes,"[""8 potatoes mediums"", ""1 tablespoon paprika"", ""2 teaspoons salt"", ""2 teaspoons pepper"", ""1 onion sliced"", ""1/2 cup bacon drippings or oil""]","[""Peel the potatoes and slice thinly. Spread out on paper towels to let dry."", ""Combine the paprika, salt and pepper. In a large bowl, combine potatoes, onion and the paprika mixture and toss well to coat with the mixture."", ""In large, heavy skillet, heat bacon drippings over medium high heat and add potatoes. Stir with spatula to prevent potatoes from breaking up and sticking. Cook until potatoes are tender and well-browned, about 30 mins.""]",www.yummly.com/recipe/Pan-Fried-Potatoes-1667153,Gathered,"[""potatoes"", ""paprika"", ""salt"", ""pepper"", ""onion"", ""bacon""]"
1630823,Pistachio Gelato,"[""1 cup shelled pistachios"", ""3 cups whole milk"", ""3/4 cup sugar""]","[""In a food processor or coffee grinder, grind the pistachio to a fine powder, reserve a few whole ones for garnish."", ""In a medium saucepan, combine the milk and sugar. Cook over medium heat, stirring until the sugar is dissolved, and bubbles form around the edges of the pan. Remove from heat, add the pistachios, cool, cover and refrigerate overnight."", ""Strain the milk mixture through a fine-mesh sieve, pressing on the nuts with the back of a large spoon to get as much liquid from the nuts as possible. Transfer to an ice cream maker and freeze according to the manufacturerOs instructions.""]",www.yummly.com/recipe/Pistachio-Gelato-1671072,Gathered,"[""pistachios"", ""milk"", ""sugar""]"
1630837,Roasted Leg Of Lamb In The Connemara Green Coat,"[""1 bunch kale"", ""3 7/8 tablespoons pistachios"", ""15 mint leaves"", ""2/3 pound leg of lamb"", ""olive oil""]","[""In a pot with salted boiling water blanch the kale leaves for 3 minutes."", ""Drain and dry with a paper towel. Set aside."", ""Combine pistachios, chopped mint leaves and a little salt and pepper."", ""Slice the leg of lamb in 2 pieces of 150 gr."", ""Saute over high heat for 4-5 minutes on each side."", ""Make a cut at the center of each slice with a knife."", ""Inside the cut, place a teaspoon of the pistachio/mint mixture."", ""Roll the meat in a kale leaf and secure with a wooden pin."", ""In a skillet, heat a teaspoon of oil and saute the the rolls for 15 minutes, turn them over halfway through the cooking."", ""Salt and pepper."", ""Serve with potato and parsnip puree.""]",www.yummly.com/recipe/Roasted-Leg-of-Lamb-in-the-Connemara-Green-Coat-782409,Gathered,"[""kale"", ""pistachios"", ""mint"", ""lamb"", ""olive oil""]"
1630841,Peach And Cherry Popsicle,"[""3 peaches ripe"", ""1 13/16 cups pitted cherries""]","[""Place the peeled peaches in a blender and grind to a smooth puree."", ""Fill part of each popsicle mold with the puree."", ""Place the cherries in a blender and grind, filling the remaining space of the molds with cherry puree."", ""Place in the freezer until set.""]",www.yummly.com/recipe/Peach-and-Cherry-Popsicle-2030755,Gathered,"[""peaches"", ""cherries""]"
1630954,Mac & Cheese With Lit’L Smokies® Smoked Sausage,"[""1 package Hillshire Farm(R) Cheddar Lit'l Smokies(R) Smoked Sausage"", ""1 package macaroni and cheese mix 14 ounces"", ""1/2 cup shredded cheddar cheese optional""]","[""Preheat oven to 350\u00b0F. Open package of Lit'l Smokies(R) and drain off any liquid; set aside. Cook macaroni according to package instructions."", ""Place mixture in a greased 2-quart baking dish. Sprinkle with Cheddar cheese. Bake, uncovered, 20 minutes or until heated through.""]",www.yummly.com/recipe/Mac-_-Cheese-with-Litl-Smokies-Smoked-Sausage-2611330,Gathered,"[""Sausage"", ""macaroni"", ""cheddar cheese""]"
1631000,Chicken Kebabs,"[""chicken"", ""pepper"", ""onion"", ""mushrooms""]","[""Cut up your chicken into small pieces, this can be plain or marinated in a sauce"", ""Next cut up some pepper, mushrooms and onion into small chunks"", ""Put your prepared chicken and vegetables onto a skewer and cook in the oven or on a BQQ""]",www.yummly.com/recipe/Chicken-Kebabs-1180519,Gathered,"[""chicken"", ""pepper"", ""onion"", ""mushrooms""]"
1631015,Asparagus With Olive Oil And Lemon,"[""3 pounds asparagus ends trimmed"", ""1 cup olive oil 12 oz"", ""3 tablespoons fresh lemon juice""]","[""Cook asparagus in large pot of boiling salted water until crisp-tender, about 4 minutes. Drain; rinse with cold water and drain again. Pat dry."", ""(Can be made 1 day ahead. Cover and refrigerate.)"", ""Heat oil in heavy large pot over medium-high heat. Add asparagus to pot."", ""Stir until heated through and coated with oil, about 5 minutes. Drizzle with lemon juice. Season to taste with salt and pepper. Arrange asparagus on platter.""]",www.yummly.com/recipe/Asparagus-With-Olive-Oil-and-Lemon-1647015,Gathered,"[""olive oil"", ""lemon juice""]"
1631019,Whiskey Sour,"[""2 ounces bourbon"", ""2/3 ounce fresh lemon juice"", ""1 teaspoon superfine sugar""]","[""Shake and strain into a cocktail glass.""]",www.yummly.com/recipe/Whiskey-Sour-1677276,Gathered,"[""bourbon"", ""lemon juice"", ""sugar""]"
1631023,Non-Candy Halloween Treats,"[""dates"", ""cream cheese"", ""apple"", ""marshmallows"", ""peanut butter""]","[""Stuff dates with cream cheese and serve"", ""Layer sliced apples with peanut butter and arrange small marshmallows and top with another slice of apple to get the monster lips-teeth look""]",www.yummly.com/recipe/Non-Candy-Halloween-Treats-1353401,Gathered,"[""dates"", ""cream cheese"", ""apple"", ""marshmallows"", ""peanut butter""]"
1631033,Cherry Currant Preserves,"[""2 quarts currants"", ""6 cups sugar"", ""4 pounds cherries pitted"", ""2 pounds raisins seedless""]","[""Crush currants and simmer, covered, until soft."", ""Strain through a cheesecloth or jelly bag."", ""Boil with sugar for 20 minutes or until the temperature reaches 220F on a candy thermometer"", ""Add cherries and raisins and cook until thick."", ""Pour into hot sterilized jars and seal; process in a boiling water bath for ten minutes.""]",www.yummly.com/recipe/Cherry-Currant-Preserves-1652156,Gathered,"[""currants"", ""sugar"", ""cherries"", ""raisins""]"
1631123,Grilled Pineapple,"[""1 pineapple"", ""honey as much as you like"", ""cinnamon as much as you like"", ""butter /cooking spray""]","[""Cover a large pan or stovetop grill with cooking spray or butter."", ""Peel the pineapple and cut it in half."", ""Cover both of the pineapple halves with a light layer of honey and cinnamon."", ""Place the pineapple on the grill and grill each side for 5 minutes."", ""Once both sides are grilled, serve. These pineapples can be served with chicken, pork, or even with ice cream as a dessert.""]",www.yummly.com/recipe/Grilled-Pineapple-548967,Gathered,"[""pineapple"", ""honey"", ""cinnamon"", ""butter""]"
1631173,Spiedini,"[""1/2 pound Fontina cheese"", ""12 ounces prosciutto"", ""2 tablespoons rosemary"", ""1/2 cup olive oil""]","[""Soak your skewers in water for at least 30 min."", ""Drizzle 1/4 cup of oil onto bottom of baking dish. Sprinkle with 1 Tbsp of rosemary."", ""Slice your cheese into 8 equal sections. Take a skewer and place 2 wedges of cheese onto it."", ""Wrap with 3 pieces of prosciutto. Place in baking dish. Drizzle with remaining olive oil and sprinkle remaining rosemary."", ""Pop in freezer for at least 1 hour."", ""Pre heat oven to high broil."", ""Remove baking dish from freezer and let dish come to room temp. Stick in oven for 10-15 min or until heated thru out.""]",www.yummly.com/recipe/Spiedini-1674023,Gathered,"[""cheese"", ""rosemary"", ""olive oil""]"
1631231,Peanut Butter Cups,"[""3/4 cup peanut butter"", ""1/2 cup confectioners' sugar"", ""1 1/2 cups chocolate chips"", ""2/3 cup peanut butter""]","[""Mix 3/4 cup peanut butter and confectioners sugar together."", ""Melt chocolate chips with 2/3 cup peanut butter on low heat in a double boiler. Make sure not to let any water or steam get into the chocolate -- just a drop can ruin an entire batch of chocolate!"", ""Cover the bottom and sizes of the muffin cups with the melted chocolate mixture. Only use half of the chocolate mixture -- you'll need the rest for Step 5. Let set in the refrigerator; about 3 minutes."", ""Roll the peanut butter mixture into small balls, slightly smaller than the size of the muffin cups."", ""When the muffin cups have set, take them out of the fridge and quickly put the balls into the cups. Cover the peanut butter balls with the remaining chocolate mix."", ""Return to the refrigerate for 30 minutes or until completely set. Store in the refrigerator in an airtight container.""]",www.yummly.com/recipe/Peanut-Butter-Cups-1667349,Gathered,"[""peanut butter"", ""sugar"", ""chocolate chips"", ""peanut butter""]"
1631296,Smashed Potatoes,"[""3 pounds new potatoes or Baby Yukon"", ""6 tablespoons butter"", ""chives Chopped"", ""salt"", ""pepper""]","[""Boil potatoes. Drain and return to pot over medium heat. Add butter and once butter is melted, smash the potatoes with a spoon or potato masher just enough to break the skin. Stir and fry 5 minutes. Season with salt & pepper. Add chives and fry for 2 minutes longer.""]",www.yummly.com/recipe/Smashed-Potatoes-1691840,Gathered,"[""potatoes"", ""butter"", ""chives"", ""salt"", ""pepper""]"
1631343,Chocolate Almond Bark,"[""1/2 cup raw almonds chopped"", ""1/2 teaspoon sea salt"", ""1/2 teaspoon worcestershire sauce"", ""1 pinch cayenne pepper"", ""8 ounces candy making chocolate, I used Ghirardelli's Candy Making & Dipping Bar, Double Chocolate Flavor and really liked the results""]","[""Heat oven to 160 degrees."", ""In a medium bowl, mix 1/2 cup chopped almonds with the Worcestershire sauce, cayenne and sea salt."", ""Place on baking sheet and roast for 20 minutes."", ""Let the almonds cool."", ""Melt the chocolate using a double boiler or in the microwave (be sure to use low heat) and mix the almonds into the chocolate."", ""Spread into wax-paper lined 8 x 8 inch baking pan."", ""Sprinkle a pinch more of the sea salt on the top and let cool."", ""Break into bite-size pieces.""]",www.yummly.com/recipe/Chocolate-Almond-Bark-1652024,Gathered,"[""almonds"", ""salt"", ""worcestershire sauce"", ""cayenne pepper"", ""chocolate""]"
1631644,Green Smoothie,"[""1 cucumber Aussie Farmers Direct, diced"", ""1 apple Aussie Farmers Direct, sliced"", ""1 celery stick Aussie Farmers Direct, chopped"", ""1/2 lemon Aussie Farmers Direct, squeezed"", ""1 cup ice"", ""5 mint leaves Aussie Farmers Direct""]","[""Place half of the cut up ingredients; cucumber, apple, celery, lemon juice and mint,pineapple, in a blender. Blend until smooth and pour evenly among 2 glasses."", ""Repeat with the remaining cucumber, apple, celery, lemon juice, mint and ice."", ""Garnish the smoothie with a celery stick & fresh mint leaves.""]",www.yummly.com/recipe/Green-Smoothie-1657282,Gathered,"[""cucumber"", ""apple"", ""celery"", ""lemon"", ""mint""]"
1631645,Green Smoothie,"[""1 bunch spinach"", ""1 pineapple"", ""1 Orange"", ""8 leaves fresh mint"", ""1 1/2 cups ice""]","[""Mix all together on high speed until smooth.... about 1 minute.""]",www.yummly.com/recipe/Green-Smoothie-1656834,Gathered,"[""spinach"", ""pineapple"", ""Orange"", ""mint""]"
1631675,Coconut Whipped Cream,"[""2 cans full fat coconut milk \""chilled overnight\"""", ""1 tablespoon vanilla extract"", ""3 tablespoons maple syrup""]","[""Carefully open chilled coconut milk cans. Do not shake cans."", ""With a spoon, scoop out thick cream only and pour into a large mixing bowl. Reserve coconut water in a separate bowl for smoothies."", ""Whip coconut cream on high speed with an electric hand mixer."", ""Slowly add in vanilla and maple syrup until fully incorporated and soft peaks form."", ""You can now use whipped coconut cream to frost cakes, pies, cupcakes or for parfait. Keep coconut cream or frosted desserts chilled in fridge until ready to serve. Will keep for 2-3 days.""]",www.yummly.com/recipe/Coconut-Whipped-Cream-996169,Gathered,"[""milk"", ""vanilla"", ""maple syrup""]"
1631702,Tasty Meatballs,"[""1 1/8 pounds beef minced lean"", ""3 Hellmann's Real Mayonnaise dollops*"", ""2 Hellmann's Tomato Ketchup dollops*"", ""3 11/16 tablespoons bread crumbs"", ""6 3/4 tablespoons apple juice"", ""2 Hellmann's Tomato Ketchup dollops*"", ""6 3/4 tablespoons tomato sauce""]","[""Mix all the meatball ingredients and shape into balls. Saute them in a frying pan."", ""Mix the juice, the tomato sauce and the ketchup together."", ""After 5 minutes of frying the meatballs in the pan, add the sauce and fry it until it suits to your taste.""]",www.yummly.com/recipe/Tasty-Meatballs-378795,Gathered,"[""beef"", ""Mayonnaise"", ""Ketchup"", ""bread crumbs"", ""apple juice"", ""Ketchup"", ""tomato sauce""]"
1631879,Homemade Strawberry Jelly,"[""1 pound strawberries Fresh"", ""1 teaspoon lemon juice"", ""3 tablespoons honey""]","[""Start by washing, hulling and quartering your fresh strawberries"", ""Place the strawberries, lemon juice and honey in a good quality pot and cook on medium heat for 25 minutes"", ""Continuously smash the strawberries with a wooden spook to help release the juices of the strawberries and help the jelly to thicken"", ""I like to leave my jelly with small chunks in it but if you want a smoother texture you can food process the jelly"", ""Place in a Mason Jar and refrigerate for up to a week""]",www.yummly.com/recipe/HOMEMADE-STRAWBERRY-JELLY-1690112,Gathered,"[""lemon juice"", ""honey""]"
1631909,Beef Parmigiana,"[""1 egg"", ""1 cup olive oil"", ""1 cup milk"", ""2 cups bread crumbs"", ""1/2 pound mozzarella cheese sliced"", ""1 pound beef thinly sliced"", ""1 cup Parmesan cheese"", ""2 cups tomato sauce""]","[""Combine egg with milk. Dredge thin beef slices through egg mixture, then coat with bread crumbs. In skillet heat oil until a light haze forms. Add beef and brown them quickly on both sides. Transfer to a baking disk. Top with mozzarella and cover with tomato sauce."", ""Sprinkle with parmesan cheese. Bake at 400 for 10 minutes or until sauce bubbles. Serve at omce.""]",www.yummly.com/recipe/Beef-Parmigiana-1647680,Gathered,"[""egg"", ""olive oil"", ""milk"", ""bread crumbs"", ""mozzarella cheese"", ""beef"", ""Parmesan cheese"", ""tomato sauce""]"
1631930,Pina Colada Smoothie,"[""1/2 cup evaporated skim milk chill"", ""1/2 teaspoon coconut extract"", ""1/4 banana Ripe, peeled and frozen"", ""1/4 cup pineapple chunks frozen"", ""ice cubes""]","[""In blender, combine evaporated milk and extract."", ""With blender running, add frozen banana and pineapple pieces, a few at a time."", ""Add ice cubes one at a time."", ""Blend until smooth.""]",www.yummly.com/recipe/Pina-Colada-Smoothie-1667854,Gathered,"[""milk"", ""coconut"", ""banana"", ""pineapple""]"
1631947,Honey Walnut Crusted Salmon,"[""1 1/2 pounds salmon wild-caught Alaskan"", ""2 teaspoons olive oil"", ""2/3 cup chopped walnuts finely"", ""4 tablespoons honey"", ""1/2 teaspoon apple cider vinegar"", ""1/4 teaspoon salt"", ""1 dash cayenne pepper"", ""1 dash black pepper""]","[""For a full set of directions go to: http://simpleseasonal.com/recipes/entrees/honey-walnut-crusted-salmon""]",www.yummly.com/recipe/Honey-Walnut-Crusted-Salmon-1109868,Gathered,"[""salmon"", ""olive oil"", ""walnuts"", ""honey"", ""apple cider vinegar"", ""salt"", ""cayenne pepper"", ""black pepper""]"
1632008,Peaches And Cream Pops,"[""3 cups peach nectar 100 percent peach juice"", ""3/4 cup heavy cream"", ""1/4 cup brown sugar"", ""1 tablespoon fresh ginger grated"", ""1 pinch fine salt""]","[""Whisk together the peach nectar, cream, sugar, ginger, and salt in a large bowl until smooth."", ""Pour the mixture into 10 3-ounce or 8 4-ounce ice-pop molds, dividing evenly. Insert ice-pop sticks and freeze until firm, at least 4 hours and up to 4 days.""]",www.yummly.com/recipe/Peaches-and-Cream-Pops-992424,Gathered,"[""heavy cream"", ""brown sugar"", ""ginger"", ""salt""]"
1632023,Basic Boneless Ham,"[""5-6 Pounds Fully-Cooked Boneless Ham""]","[""Place ham in shallow pan and heat in a 350 degree F. oven, uncovered, for 1 1/4 to 1 1/2 hours or until an inserted meat thermometer reads 140 degrees F. (about 18-20 minutes per pound.)"", ""If desired, glaze your ham with a mixture of 1/2 cup honey and one 6-ounce can thawed orange juice concentrate during the last 15 minutes of reheating.""]",www.yummly.com/recipe/Basic-Boneless-Ham-2261190,Gathered,"[""Ham""]"
1632106,3 Ingredient Pineapple Popsicles ,"[""13 3/8 ounces coconut milk"", ""16 ounces pineapple frozen"", ""3/4 cup sweetened coconut""]","[""visit http://www.sixsistersstuff.com/2016/07/3-ingredient-pineapple-popsicles.html for the rest of the recipe""]",www.yummly.com/recipe/3-Ingredient-Pineapple-Popsicles--1839671,Gathered,"[""coconut milk"", ""pineapple"", ""coconut""]"
1632128,Flourless Peanut Butter And Jelly Cookies,"[""1 cup peanut butter"", ""1 egg"", ""1 teaspoon vanilla extract"", ""3/4 cup brown sugar"", ""1/4 cup jelly I used grape"", ""1 cup peanut butter"", ""1 egg"", ""1 teaspoon vanilla extract"", ""3/4 cup brown sugar"", ""1/4 cup jelly I used grape""]","[""1.Preheat the oven to 350. Line a baking sheet with parchment paper."", ""2. Mix the peanut butter, egg, vanilla, and sugar in a bowl."", ""3. Using a 1/2 tablespoon, spoon dollops onto the cookie sheet. Press down with you thumb in the middle."", ""4. Put a teaspoon or so of jelly in the thumb print."", ""5. Cook for 10-15 minutes until edges are browned."", ""6. Although I love to eat cookies immediately, these really do need to cool before eating. They will break and crumble if you try them before they are cooled.""]",www.yummly.com/recipe/Flourless-Peanut-Butter-and-Jelly-Cookies-1654392,Gathered,"[""peanut butter"", ""egg"", ""vanilla"", ""brown sugar"", ""peanut butter"", ""egg"", ""vanilla"", ""brown sugar""]"
1632202,Sunbutter Granola,"[""2 tablespoons SunButter Creamy"", ""2 tablespoons honey"", ""1/4 teaspoon cinnamon"", ""1/4 teaspoon vanilla extract"", ""1 cup oats""]","[""Heat oven to 325\u00b0F. Spray cookie sheet with non-stick cooking spray; set aside."", ""In medium bowl, combine SunButter and honey and microwave until SunButter melts (approximately 20 seconds). Stir."", ""Stir cinnamon and vanilla into SunButter mixture. Add oats and stir until oats are completely covered."", ""Spread onto prepared cookie sheet and bake for 7 to 8 minutes until granola is slightly browned."", ""Let cool to room temperature, until granola is crunchy.""]",www.yummly.com/recipe/SunButter-Granola-2498938,Gathered,"[""honey"", ""cinnamon"", ""vanilla"", ""oats""]"
1632437,Maple Bacon Sundae,"[""4 tablespoons pure maple syrup"", ""6 slices smoked bacon Cooked Hickory, 4 pieces cut into bite size sections""]","[""Place a large scoop of ice cream into the bottom of a sundae dish, sprinkle with some of the cut bacon and top with 1 Tbs. syrup."", ""Repeat the layers then using 1 piece of bacon break it into 2 pieces and nestle in the back of the sundae for garnish.""]",www.yummly.com/recipe/Maple-Bacon-Sundae-1663120,Gathered,"[""maple syrup"", ""bacon""]"
1632478,You’Ll Never Buy Butter Form The Store Again After You’Ve Made It Yourself (Two Ingredient Recipe),"[""2 cups heavy cream organic"", ""sea salt to taste""]","[""Pour cream into food processor and process for about 10 minutes. It will turn to a thick whipped cream first."", ""Continue processing until it turns grainy and separate into butter and butter milk. Drain buttermilk from butter."", ""Scrape butter from the sides. Put in a clean bowl. Place your butter into a colander and strain off the buttermilk."", ""Rinse the butter with cold water, gently turning the butter with a spoon while the cold water runs over it until the water runs clear."", ""When the butter is clean, squeeze more liquid from butter using wooden paddles or spoons to smash butter and pour off liquid."", ""You can keep it in a jar or bowl, and store it in the fridge, or the freezer. This type of butter can last for several months before going bad.""]",www.yummly.com/recipe/Youll-Never-Buy-Butter-Form-The-Store-Again-After-Youve-Made-It-Yourself-_Two-Ingredient-Recipe_-1584833,Gathered,"[""heavy cream"", ""salt""]"
1632559,Blackened Tilapia,"[""2 tilapia fillets fresh"", ""salt"", ""4 tablespoons creole seasoning"", ""2 tablespoons butter"", ""2 tablespoons olive oil""]","[""click on web link for more descriptions http://bit.ly/1KdHbh4""]",www.yummly.com/recipe/Blackened-Tilapia-995197,Gathered,"[""salt"", ""creole seasoning"", ""butter"", ""olive oil""]"
1632562,Oven-Chipped Potatoes,"[""6 potatoes long thin old"", ""1/4 pound butter melted"", ""salt""]","[""Scrub potatoes and cut, unpeeled, into thick slices."", ""Soak slices in ice water for at least 1 hour."", ""Drain and dry thoroughly on paper towels."", ""Dip slices in melted butter and arrange them on a large shallow baking dish."", ""Bake the slices for 40 to 50 minutes in a 375 degree oven, turning once or twice until they are crisp and evenly browned.""]",www.yummly.com/recipe/Oven-Chipped-Potatoes-1665858,Gathered,"[""potatoes"", ""butter"", ""salt""]"
